02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:22 DEBUG    [connectionpool.py : 971] -> Starting new HTTPS connection (1): books.toscrape.com:443
02-12-20 : 22:08:24 DEBUG    [connectionpool.py : 452] -> https://books.toscrape.com:443 "GET /catalogue/page-14.html HTTP/1.1" 200 None
02-12-20 : 22:08:24 DEBUG    [book_pages.py : 12] -> Parsing page content with BeautifulSoup HTML parser.
02-12-20 : 22:08:24 DEBUG    [book_pages.py : 17] -> Finding all books in the page using div.page_inner section li.col-xs-6.col-sm-4.col-md-3.col-lg-3
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
02-12-20 : 22:08:24 DEBUG    [book.py : 21] -> New book parser created...
